"image","xmin","ymin","xmax","ymax","label"
"9k_%20(1).jpg",79.57432922407541,3.0179032258064513,215.0891950688905,143.72129032258064,"Cat_Face"
"9k_%20(2).jpg",59.43710609243698,6.045714285714285,174.3266619147659,126.4342857142857,"Cat_Face"
"2Q__%20(1).jpg",26.52356780275562,15.133688842482101,106.929659173314,87.18022822195704,"Cat_Face"
"2Q__%20(2).jpg",86.63551136363635,2.3005714285714283,196.61732954545454,124.23085714285713,"Cat_Face"
"2Q__.jpg",3.4578606592465753,0.8868571428571429,106.12652504280823,103.31885714285714,"Cat_Face"
"9k_%20(4).jpg",95.65192168237853,29.751827267303103,150.57868020304568,79.45349791169451,"Cat_Face"
"9k_%20(5).jpg",135.09789702683102,4.32421875,265.69253081943435,130.57421875,"Cat_Face"
"9k_%20(3).jpg",65.82857142857142,48.857142857142854,177.17142857142855,152.74285714285713,"Cat_Face"
"9k_%20(6).jpg",145.25868486352357,54.57142857142857,212.95099255583125,129.22514285714286,"Cat_Face"
"9k_%20(7).jpg",80.65844815083393,39.45290322580645,179.530094271211,137.41790322580647,"Cat_Face"
"9k_%20(7).jpg",148.09064539521393,0,248.48005801305294,100.78306451612903,"Cat_Face"
"9k_.jpg",25.509090909090908,0,185.95369318181815,161.66742857142853,"Cat_Face"
"Z%20(2).jpg",187.30964467005077,0,268.67295141406817,69.77331606217615,"Cat_Face"
"Z%20(3).jpg",13.483670295489889,0,247.25349922239502,170.41142857142862,"Cat_Face"
"Z%20(4).jpg",79.95935828877006,58.28,184.91764705882355,171.61599999999999,"Cat_Face"
"Z%20(1).jpg",46.416052756654,3.7645714285714282,142.6137713878327,100.17942857142856,"Cat_Face"
"Z.jpg",117.18662827557058,22.057142857142857,235.000660397295,127.49028571428573,"Cat_Face"
"Z.jpg",5.550110946745562,84.25828571428572,103.50784551986476,179.54514285714288,"Cat_Face"
"images%20(1).jpg",8.831926323867997,9.252571428571429,194.93323100537222,168.64914285714286,"Cat_Face"
"images%20(10).jpg",55.808,23.296,118.52799999999999,82.176,"Cat_Face"
"images%20(100).jpg",109.02857142857141,86.14285714285714,153.77142857142854,123.94285714285714,"Cat_Face"
"images%20(11).jpg",122.69760696156635,18.85103626943005,193.18346627991298,88.48834196891191,"Cat_Face"
"images%20(14).jpg",6.816997518610422,22.483428571428572,195.0452853598015,182.48685714285713,"Cat_Face"
"images%20(12).jpg",94.72403754752852,51.239999999999995,186.11187024714832,120.04799999999999,"Cat_Face"
"images%20(13).jpg",67.98611408390411,14.411428571428573,183.07258668664383,108.64,"Cat_Face"
"images%20(15).jpg",28.285714285714285,7.971428571428571,137.57142857142856,119.05714285714285,"Cat_Face"
"images%20(15).jpg",66.6,55.028571428571425,195.42857142857142,193.37142857142857,"Cat_Face"
"images%20(16).jpg",22.97155928938356,8.203428571428573,210.3474154537671,181.14057142857143,"Cat_Face"
"images%20(18).jpg",47.20812182741117,4.705958549222798,251.26903553299493,168,"Cat_Face"
"images%20(17).jpg",74.2909429280397,12.224,180.6333746898263,97.57371428571429,"Cat_Face"
"images%20(19).jpg",153.15445975344454,1.8769430051813472,253.87962291515595,100.45725388601036,"Cat_Face"
"images%20(2).jpg",66.70122385931562,15.685714285714285,132.36662309885938,77.17371428571428,"Cat_Face"
"images%20(20).jpg",45.51428571428571,25.71428571428571,132.94285714285712,106.7142857142857,"Cat_Face"
